,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1549,Martin Turk,,19,1.9,Slovenia,Koper,0.3,0.5,Goalkeeper,22,left,Sampdoria,2023-06-30,2023-01-13,Zmiya s.r.o,,SerieA
1550,Nicola Ravaglia,,34,1.84,Italy,Forlì,0.1,0.5,Goalkeeper,30,right,Sampdoria,2024-06-30,2020-09-01,,,SerieA
1551,Koray Günter,,28,1.86,Germany  Turkey,Höxter,4.5,5.0,Defender - Centre-Back,4,right,Sampdoria,2023-06-30,2023-01-31,EMG Mundial,,SerieA
1552,Bruno Amione,Bruno Agustín Amione,21,1.87,Argentina  Italy,Calchaquí,2.7,2.7,Defender - Centre-Back,2,left,Sampdoria,2023-06-30,2022-09-01,Estilo 10,,SerieA
1553,Bram Nuytinck,,33,1.91,Netherlands,Malden,2.0,5.0,Defender - Centre-Back,17,left,Sampdoria,2023-06-30,2023-01-02,Wasserman,,SerieA
1554,Jeison Murillo,Jeison Fabián Murillo Cerón,30,1.82,Colombia  Spain,Barranquilla,2.0,18.0,Defender - Centre-Back,21,right,Sampdoria,2023-06-30,2020-01-14,,Nike,SerieA
1555,Marios Oikonomou,Μάριος Οικονόμου,30,1.89,Greece,Ioannina,0.3,2.5,Defender - Centre-Back,5,right,Sampdoria,2023-06-30,2023-02-17,SPORTS CONNECTION,,SerieA
1556,Tommaso Augello,,28,1.8,Italy,Milano,2.5,4.0,Defender - Left-Back,3,left,Sampdoria,2025-06-30,2020-09-01,Italian Managers ...,,SerieA
1557,Nicola Murru,,28,1.8,Italy,Cagliari,1.6,7.0,Defender - Left-Back,29,left,Sampdoria,2024-06-30,2017-07-01,,,SerieA
1558,Alessandro Zanoli,,22,1.88,Italy,Carpi,5.0,5.0,Defender - Right-Back,59,right,Sampdoria,2023-06-30,2023-01-07,Gea World,,SerieA
1559,Andrea Conti,,29,1.84,Italy,Lecco,0.6,18.0,Defender - Right-Back,13,right,Sampdoria,2025-06-30,2022-01-10,M.A.R.A.T. Football ...,,SerieA
1560,Harry Winks,Harry Billy Winks,27,1.78,England,Hemel Hempstead,12.0,40.0,midfield - Defensive Midfield,20,right,Sampdoria,2023-06-30,2022-08-30,CAA Stellar,adidas,SerieA
1561,Tomás Rincón,Tomás Eduardo Rincón Hernández,35,1.77,Venezuela,San Cristóbal,0.8,9.0,midfield - Defensive Midfield,8,right,Sampdoria,2023-06-30,2022-07-05,GG11,,SerieA
1562,Flavio Paoletti,,20,1.82,Italy,San Benedetto del Tronto,0.8,0.8,midfield - Defensive Midfield,36,right,Sampdoria,2024-06-30,2023-01-02,Dream and Goal,,SerieA
1563,Gerard Yepes,Gerard Yepes Laut,20,1.7,Spain,Barcelona,0.5,0.5,midfield - Defensive Midfield,28,right,Sampdoria,2025-06-30,2022-07-01,Roberto Calenda,,SerieA
1564,Emirhan Ilkhan,Emirhan İlkhan,18,1.75,Turkey,Istanbul,4.5,4.5,midfield - Central Midfield,26,right,Sampdoria,2023-06-30,2023-01-31,FutureBall,,SerieA
1565,Michaël Cuisance,Michaël Bruno Dominique Cuisance,23,1.81,France,Strasbourg,3.5,12.0,midfield - Central Midfield,80,left,Sampdoria,2023-06-30,2023-01-30,YA'ATS SPORTS,adidas,SerieA
1566,Mehdi Léris,Mehdi Pascal Marcel Léris,24,1.86,Algeria  France,Mont de Marsan,2.2,2.5,midfield - Right Midfield,37,right,Sampdoria,2024-06-30,2019-08-12,YOU FIRST,,SerieA
1567,Lorenzo Malagrida,,19,1.74,Italy,Pietra Ligure,0.25,0.25,midfield - Left Midfield,31,right,Sampdoria,2025-06-30,2022-07-01,Gea World,,SerieA
1568,Abdelhamid Sabiri,,26,1.86,Morocco  Germany,Goulmima,3.0,4.0,midfield - Attacking Midfield,11,right,Sampdoria,2023-06-30,2023-01-31,Amin Sakman,,SerieA
1569,Filip Djuricic,Филип Ђуричић,31,1.81,Serbia,Obrenovac,2.5,10.0,midfield - Attacking Midfield,7,right,Sampdoria,2024-06-30,2022-08-01,GG11,,SerieA
1570,Jesé,,30,1.78,Spain,Las Palmas de Gran Canaria,2.0,15.0,Attack - Left Winger,99,right,Sampdoria,2023-06-30,2023-02-10,Relatives,Nike,SerieA
1571,Ignacio Pussetto,,27,1.8,Argentina  Italy,Cañada Rosquín,2.5,10.0,Attack - Right Winger,18,right,Sampdoria,2023-06-30,2022-09-01,MVP Group,,SerieA
1572,Manolo Gabbiadini,,31,1.86,Italy,Calcinate,3.0,18.0,Attack - Centre-Forward,23,left,Sampdoria,2026-06-30,2019-01-11,BSP FOOTBALL AGENCY,,SerieA
1573,Manuel De Luca,,24,1.92,Italy,Bolzano/Bozen,2.5,3.0,Attack - Centre-Forward,9,both,Sampdoria,2025-06-30,2021-08-11,,,SerieA
1574,Sam Lammers,Sam Adrianus Martinus Lammers,26,1.91,Netherlands,Tilburg,2.4,9.0,Attack - Centre-Forward,10,both,Sampdoria,2023-06-30,2023-01-02,ISM Int. Soccer ...,,SerieA
1575,Fabio Quagliarella,,40,1.8,Italy,Castellammare di Stabia,1.0,17.5,Attack - Centre-Forward,27,right,Sampdoria,2023-06-30,2016-07-01,AGB Sport Management,,SerieA
1576,Daniele Montevago,,20,1.84,Italy,Palermo,0.4,0.4,Attack - Centre-Forward,34,right,Sampdoria,2025-06-30,2022-10-28,,,SerieA
1577,Marco Carnesecchi,,22,1.91,Italy,Rimini,13.0,13.0,Goalkeeper,12,right,Cremonese,2023-06-30,2022-08-31,Italian Managers ...,Puma,Other
1578,Mouhamadou Sarr,Mouhamadou Fallou Mbacke Sarr,26,1.9,Senegal  Italy,Kaolack,0.25,0.25,Goalkeeper,45,right,Cremonese,,2021-08-27,Romano Eleven SAS,,Other
1579,Gianluca Saro,,22,1.79,Italy,San Daniele del Friuli,0.2,0.275,Goalkeeper,13,right,Cremonese,,2022-08-12,Starbridge Srl,,Other
1580,Dorian Ciezkowski,Dorian Jerzy Ciężkowski,22,1.92,Poland,Kraków,0.1,0.1,Goalkeeper,22,left,Cremonese,2023-06-30,2021-07-30,SSM Agency,,Other
1581,Johan Vásquez,Johan Felipe Vásquez Ibarra,24,1.84,Mexico,Navojoa,3.6,6.0,Defender - Centre-Back,5,left,Cremonese,2023-06-30,2022-07-01,VS Sinergia,Nike,Other
1582,Emanuel Aiwu,,22,1.85,Austria,Innsbruck,3.5,3.5,Defender - Centre-Back,4,right,Cremonese,2026-06-30,2022-08-05,Stars & Friends,Puma,Other
1583,Alex Ferrari,,28,1.91,Italy,Modena,1.5,2.5,Defender - Centre-Back,24,right,Cremonese,2023-06-30,2023-01-02,Romano Eleven SAS,,Other
1584,Luka Lochoshvili,ლუკა ლოჩოშვილი,24,1.92,Georgia,Tiflis,1.5,1.5,Defender - Centre-Back,44,left,Cremonese,,2022-08-10,FA PLAYERS AGENTS,,Other
1585,Vlad Chiriches,Vlad Iulian Chiricheş,33,1.84,Romania,Bacău,1.3,11.0,Defender - Centre-Back,21,right,Cremonese,2023-06-30,2022-07-08,Pietro Chiodi ...,Nike,Other
1586,Matteo Bianchetti,,30,1.89,Italy,Como,0.8,1.4,Defender - Centre-Back,15,right,Cremonese,2025-06-30,2019-08-17,TMP SOCCER srl,Puma,Other
1587,Emanuele Valeri,,24,1.8,Italy,Roma,3.5,3.5,Defender - Left-Back,3,left,Cremonese,2024-06-30,2020-09-10,Daniele Ferri,,Other
1588,Giacomo Quagliata,,23,1.8,Italy,Palermo,2.0,2.0,Defender - Left-Back,33,left,Cremonese,2026-06-30,2022-07-26,LP Manager,,Other
1589,Leonardo Sernicola,,25,1.87,Italy,Civita Castellana,1.9,1.9,Defender - Right-Back,17,right,Cremonese,,2022-07-08,,,Other
1590,Paolo Ghiglione,,26,1.91,Italy,Voghera,1.6,4.0,Defender - Right-Back,18,right,Cremonese,2025-06-30,2022-07-17,TMP SOCCER srl,,Other
1591,Charles Pickel,Charles Monginda Pickel,26,1.87,Switzerland  DR Congo,Solothurn,3.8,3.8,midfield - Defensive Midfield,6,right,Cremonese,2026-06-30,2022-07-22,P&P Sport ...,adidas,Other
1592,Pablo Galdames,Pablo Ignacio Galdames Millán,26,1.76,Chile,Santiago de Chile,2.0,3.1,midfield - Defensive Midfield,27,right,Cremonese,2023-06-30,2023-01-31,PW SOCCER ...,,Other
1593,Michele Castagnetti,,33,1.8,Italy,Montecchio Emilia,0.7,1.0,midfield - Defensive Midfield,19,left,Cremonese,2024-06-30,2018-07-02,BC Group,,Other
1594,Soualiho Meïté,,29,1.87,France  Cote d'Ivoire,Paris,4.0,13.0,midfield - Central Midfield,28,right,Cremonese,2023-06-30,2022-09-01,VV Consulting,,Other
1595,Marco Benassi,,28,1.84,Italy,Modena,1.5,20.0,midfield - Central Midfield,26,right,Cremonese,2023-06-30,2023-01-19,Romano Eleven SAS,,Other
1596,Christian Acella,,20,,Italy,Milano,0.15,0.15,midfield - Central Midfield,23,right,Cremonese,,2021-07-01,FUTURA 2,,Other
1597,Cristian Buonaiuto,,30,1.79,Italy,Napoli,0.8,1.0,Attack - Left Winger,10,right,Cremonese,2024-06-30,2020-09-04,MM-Management,Nike,Other
1598,Cyriel Dessers,Cyriel Kolawole Dessers,28,1.85,Nigeria  Belgium,Leuven,6.0,6.0,Attack - Centre-Forward,90,right,Cremonese,2027-06-30,2022-08-10,Stirr Associates,,Other
1599,Felix Afena-Gyan,Felix Ohene Afena-Gyan,20,1.75,Ghana,Sunyani,5.5,6.0,Attack - Centre-Forward,20,right,Cremonese,,2022-08-29,Arthurlegacy Sports ...,,Other
1600,David Okereke,David Okereke Chidozie,25,1.81,Nigeria,Lagos,4.3,11.0,Attack - Centre-Forward,77,right,Cremonese,2025-06-30,2022-07-28,Patrick Bastianelli,Nike,Other
1601,Frank Tsadjout,Frank Cédric Tsadjout,23,1.9,Italy  Cameroon,Perugia,1.2,1.2,Attack - Centre-Forward,74,left,Cremonese,2025-06-30,2022-07-15,Patrick Bastianelli,,Other
1602,Daniel Ciofani,,37,1.91,Italy,Avezzano,0.2,1.5,Attack - Centre-Forward,9,right,Cremonese,2023-06-30,2019-08-09,,,Other
1603,Thibaut Courtois,Thibaut Nicolas Marc Courtois,31,2.0,Belgium,Bree,60.0,75.0,Goalkeeper,1,left,Real Madrid,2026-06-30,2018-08-09,Christophe Henrotay,Nike,LaLiga
1604,Andriy Lunin,Лунін Андрій Олексійович,24,1.91,Ukraine,"Krasnograd, Kharkiv Oblast",5.0,8.5,Goalkeeper,13,right,Real Madrid,2024-06-30,2018-07-01,Relatives,Nike,LaLiga
1605,Luis López,Luis Federico López Andugar,22,1.93,Spain,Murcia,0.3,0.3,Goalkeeper,1,left,RM Castilla,2023-06-30,2020-08-27,Best of You,adidas,Other
1606,Éder Militão,Éder Gabriel Militão,25,1.86,Brazil  Spain,Sertãozinho,70.0,70.0,Defender - Centre-Back,3,right,Real Madrid,2025-06-30,2019-07-01,UJ Football Talent,adidas,LaLiga
1607,David Alaba,David Olatukunbo Alaba,30,1.8,Austria,Wien,50.0,65.0,Defender - Centre-Back,4,left,Real Madrid,2026-06-30,2021-07-01,Relatives,adidas,LaLiga
1608,Antonio Rüdiger,,30,1.9,Germany  Sierra Leone,Berlin,40.0,50.0,Defender - Centre-Back,22,right,Real Madrid,2026-06-30,2022-07-01,FSB – ...,Under Armour,LaLiga
1609,Nacho Fernández,José Ignacio Fernández Iglesias,33,1.8,Spain,Madrid,6.0,35.0,Defender - Centre-Back,6,right,Real Madrid,2023-06-30,2012-09-01,Niagara Sports ...,,LaLiga
1610,Jesús Vallejo,Jesús Vallejo Lázaro,26,1.84,Spain,Zaragoza,2.0,15.0,Defender - Centre-Back,5,right,Real Madrid,2025-06-30,2015-07-31,,Nike,LaLiga
1611,Ferland Mendy,Ferland Sinna Mendy,27,1.8,France  Senegal,Meulan-en-Yvelines,35.0,50.0,Defender - Left-Back,23,left,Real Madrid,2025-06-30,2019-07-01,FS Management,,LaLiga
1612,Daniel Carvajal,Daniel Carvajal Ramos,31,1.73,Spain,Leganés,15.0,60.0,Defender - Right-Back,2,right,Real Madrid,2025-06-30,2013-07-01,Ginés Carvajal,Nike,LaLiga
1613,Lucas Vázquez,Lucas Vázquez Iglesias,31,1.73,Spain,A Coruña,9.0,25.0,Defender - Right-Back,17,right,Real Madrid,2024-06-30,2015-07-02,AC Talent,adidas,LaLiga
1614,Álvaro Odriozola,Álvaro Odriozola Arzallus,27,1.76,Spain,San Sebastián,5.0,30.0,Defender - Right-Back,16,right,Real Madrid,2024-06-30,2018-07-05,Best of You,adidas,LaLiga
1615,Aurélien Tchouaméni,Aurélien Djani Tchouameni,23,1.88,France  Cameroon,Rouen,90.0,90.0,midfield - Defensive Midfield,18,right,Real Madrid,2028-06-30,2022-07-01,ESN,Nike,LaLiga
1616,Federico Valverde,Federico Santiago Valverde Dipetta,24,1.82,Uruguay  Spain,Montevideo,100.0,100.0,midfield - Central Midfield,15,right,Real Madrid,2027-06-30,2018-07-01,Wasserman,,LaLiga
1617,Eduardo Camavinga,Eduardo Celmi Camavinga,20,1.82,France  Congo,Cabinda,60.0,60.0,midfield - Central Midfield,12,left,Real Madrid,2027-06-30,2021-08-31,CAA Stellar,Nike,LaLiga
1618,Toni Kroos,,33,1.83,Germany,Greifswald,18.0,80.0,midfield - Central Midfield,8,right,Real Madrid,2023-06-30,2014-07-17,Sports360 GmbH,adidas,LaLiga
1619,Dani Ceballos,Daniel Ceballos Fernández,26,1.79,Spain,Utrera,12.0,45.0,midfield - Central Midfield,19,right,Real Madrid,2023-06-30,2017-07-14,Relatives,Nike,LaLiga
1620,Luka Modric,Luka Modrić,37,1.72,Croatia,Zadar,10.0,55.0,midfield - Central Midfield,10,right,Real Madrid,2023-06-30,2012-08-27,Universal Twenty Two,Nike,LaLiga
1621,Vinicius Junior,,22,1.76,Brazil  Spain,São Gonçalo,120.0,120.0,Attack - Left Winger,20,right,Real Madrid,2024-06-30,2018-07-12,TFM Agency,Nike,LaLiga
1622,Eden Hazard,Eden Michael Hazard,32,1.75,Belgium,La Louvière,5.0,150.0,Attack - Left Winger,7,right,Real Madrid,2024-06-30,2019-07-01,Relatives,Nike,LaLiga
1623,Rodrygo,,22,1.74,Brazil  Spain,Osasco,80.0,80.0,Attack - Right Winger,21,right,Real Madrid,2025-06-30,2019-07-01,Un1que Football,Nike,LaLiga
1624,Marco Asensio,Marco Asensio Willemsen,27,1.82,Spain  Netherlands,Palma de Mallorca,25.0,90.0,Attack - Right Winger,11,left,Real Madrid,2023-06-30,2015-07-01,Gestifute,adidas,LaLiga
1625,Karim Benzema,كريم بن زيما,35,1.85,France  Algeria,Lyon,35.0,60.0,Attack - Centre-Forward,9,right,Real Madrid,2023-06-30,2009-07-09,,adidas,LaLiga
1626,Álvaro Rodríguez,Álvaro Daniel Rodríguez Muñoz,18,1.93,Uruguay  Spain,Palamós,6.0,6.0,Attack - Centre-Forward,20,left,RM Castilla,2027-06-30,2021-07-01,Footfeel ISM,,Other
1627,Mariano Díaz,Mariano Díaz Mejía,29,1.8,Dominican Republic  Spain,Premià de Mar,2.5,22.0,Attack - Centre-Forward,24,right,Real Madrid,2023-06-30,2018-08-29,YOU FIRST,,LaLiga
1628,Marc-André ter Stegen,Marc-André ter Stegen,31,1.87,Germany,Mönchengladbach,40.0,90.0,Goalkeeper,1,right,Barcelona,2025-06-30,2014-07-01,ROOF,adidas,LaLiga
1629,Iñaki Peña,Ignacio Peña Sotorres,24,1.84,Spain,Alicante,4.0,4.2,Goalkeeper,13,right,Barcelona,2026-06-30,2022-01-30,INTEGRAL ADVISING ...,Nike,LaLiga
1630,Arnau Tenas,Arnau Tenas Ureña,21,1.85,Spain,Vic,2.0,2.0,Goalkeeper,1,right,Barça Atlètic,2023-06-30,2020-07-01,"Puyol, De la Peña ...",,Other
1631,Ronald Araújo,Ronald Federico Araújo da Silva,24,1.88,Uruguay  Spain,Rivera,70.0,70.0,Defender - Centre-Back,4,right,Barcelona,2026-06-30,2020-10-05,Excellence Sport,,LaLiga
1632,Jules Koundé,Jules Olivier Kounde,24,1.8,France  Benin,Paris,60.0,60.0,Defender - Centre-Back,23,right,Barcelona,2027-06-30,2022-07-28,ESN,Puma,LaLiga
1633,Andreas Christensen,Andreas Bødtker Christensen,27,1.87,Denmark,Lillerød,30.0,40.0,Defender - Centre-Back,15,right,Barcelona,2026-06-30,2022-07-04,KIN Partners,adidas,LaLiga
1634,Eric García,Eric García Martret,22,1.82,Spain,Barcelona,12.0,20.0,Defender - Centre-Back,24,right,Barcelona,2026-06-30,2021-07-01,"Puyol, De la Peña ...",,LaLiga
1635,Alejandro Balde,Alejandro Balde Martínez,19,1.75,Spain  Dominican Republic,Barcelona,30.0,30.0,Defender - Left-Back,28,left,Barcelona,2024-06-30,2022-07-01,Gestifute,Nike,LaLiga
1636,Marcos Alonso,Marcos Alonso Mendoza,32,1.89,Spain,Madrid,7.0,45.0,Defender - Left-Back,17,left,Barcelona,2024-06-30,2022-09-01,LIAN Sports Group,Nike,LaLiga
1637,Jordi Alba,Jordi Alba Ramos,34,1.7,Spain,L'Hospitalet de Llobregat,5.0,70.0,Defender - Left-Back,18,left,Barcelona,2024-06-30,2012-07-01,InterStarDeporte,adidas,LaLiga
1638,Sergi Roberto,Sergio Roberto Carnicer,31,1.78,Spain,Reus,6.0,60.0,Defender - Right-Back,20,right,Barcelona,2024-06-30,2013-07-01,TACTIC GRUP - ...,Nike,LaLiga
1639,Sergio Busquets,Sergio Busquets Burgos,34,1.89,Spain,Badia del Vallès,5.0,80.0,midfield - Defensive Midfield,5,right,Barcelona,2023-06-30,2008-07-01,TACTIC GRUP - ...,Nike,LaLiga
1640,Pedri,,20,1.74,Spain,Tegueste,100.0,100.0,midfield - Central Midfield,8,right,Barcelona,2026-06-30,2019-09-02,LEADERBROCK,adidas,LaLiga
1641,Gavi,,18,1.73,Spain,Los Palacios y Villafranca,90.0,90.0,midfield - Central Midfield,30,right,Barcelona,,2021-07-01,"Puyol, De la Peña ...",Nike,LaLiga
1642,Frenkie de Jong,Frenkie de Jong,26,1.81,Netherlands,Arkel,60.0,90.0,midfield - Central Midfield,21,right,Barcelona,2026-06-30,2019-07-01,HCM Sports ...,Nike,LaLiga
1643,Franck Kessié,Franck Yannick Kessié,26,1.83,Cote d'Ivoire  Italy,Ouragahio,28.0,55.0,midfield - Central Midfield,19,right,Barcelona,2026-06-30,2022-07-04,Ambition Group,Nike,LaLiga
1644,Pablo Torre,Pablo Torre Carral,20,1.73,Spain,Soto de la Marina,3.0,3.0,midfield - Central Midfield,32,right,Barcelona,2026-06-30,2022-07-01,AC Talent,adidas,LaLiga
1645,Ansu Fati,Anssumane Fati Vieira,20,1.78,Spain  Guinea-Bissau,Bissau,35.0,80.0,Attack - Left Winger,10,right,Barcelona,2027-06-30,2020-09-23,Relatives,Nike,LaLiga
1646,Ferran Torres,Ferran Torres García,23,1.82,Spain,Foios,30.0,50.0,Attack - Left Winger,11,right,Barcelona,2027-06-30,2022-01-01,LEADERBROCK,adidas,LaLiga
1647,Ousmane Dembélé,Masour Ousmane Dembélé,26,1.78,France,Vernon,60.0,120.0,Attack - Right Winger,7,both,Barcelona,2024-06-30,2017-08-25,Relatives,Nike,LaLiga
1648,Raphinha,,26,1.76,Brazil  Italy,Porto Alegre,50.0,50.0,Attack - Right Winger,22,left,Barcelona,2027-06-30,2022-07-13,D20 Sports,adidas,LaLiga
1649,Robert Lewandowski,,34,1.85,Poland,Warszawa,40.0,90.0,Attack - Centre-Forward,9,right,Barcelona,2026-06-30,2022-07-19,Gol International,Nike,LaLiga
1650,Jan Oblak,,30,1.88,Slovenia,Škofja Loka,40.0,100.0,Goalkeeper,13,right,Atlético Madrid,2028-06-30,2014-07-16,Miha Mlakar,Puma,LaLiga
1651,Ivo Grbic,Ivo Grbić,27,1.95,Croatia,Split,3.5,7.0,Goalkeeper,1,right,Atlético Madrid,2024-06-30,2020-08-20,Niagara Sports ...,,LaLiga
1652,José María Giménez,José María Giménez de Vargas,28,1.85,Uruguay  Spain,Toledo,35.0,70.0,Defender - Centre-Back,2,right,Atlético Madrid,2025-06-30,2013-04-25,VIDA 11,Nike,LaLiga
1653,Mario Hermoso,Mario Hermoso Canseco,27,1.84,Spain,Madrid,18.0,35.0,Defender - Centre-Back,22,left,Atlético Madrid,2024-06-30,2019-07-18,Gesport Espizua SL,,LaLiga
1654,Stefan Savic,Стефан Савић,32,1.87,Montenegro  Serbia,Mojkovac,7.5,40.0,Defender - Centre-Back,15,right,Atlético Madrid,2024-06-30,2015-07-20,Zarko Pelicic,,LaLiga
1655,Reinildo Mandava,Reinildo Isnard Mandava,29,1.8,Mozambique,Beira,25.0,25.0,Defender - Left-Back,23,left,Atlético Madrid,2025-06-30,2022-01-31,Blueprivate ...,,LaLiga
1656,Sergio Reguilón,Sergio Reguilón Rodríguez,26,1.78,Spain,Madrid,15.0,28.0,Defender - Left-Back,3,left,Atlético Madrid,2023-06-30,2022-08-30,Sports Invest UK ltd,,LaLiga
1657,Nahuel Molina,Nahuel Molina Lucero,25,1.75,Argentina,Embalse,24.0,24.0,Defender - Right-Back,16,right,Atlético Madrid,2027-06-30,2022-07-28,,,LaLiga
1658,Matt Doherty,Matthew James Doherty,31,1.85,Ireland,Dublin,9.0,20.0,Defender - Right-Back,12,right,Atlético Madrid,2023-06-30,2023-01-31,Gestifute,Nike,LaLiga
1659,Geoffrey Kondogbia,Geoffrey Edwin Kondogbia,30,1.88,Central African Republic  France,Nemours,18.0,30.0,midfield - Defensive Midfield,4,left,Atlético Madrid,2024-06-30,2020-11-03,Sport Cover,,LaLiga
1660,Axel Witsel,Axel Laurent Angel Lambert Witsel,34,1.86,Belgium  Martinique,Liège,5.0,40.0,midfield - Defensive Midfield,20,right,Atlético Madrid,2024-06-30,2022-07-06,Nomi Sports,Puma,LaLiga
1661,Rodrigo de Paul,Rodrigo Javier de Paul,28,1.8,Argentina  Italy,Sarandí,40.0,40.0,midfield - Central Midfield,5,right,Atlético Madrid,2026-06-30,2021-07-12,Augustin Jimenez,adidas,LaLiga
1662,Marcos Llorente,Marcos Llorente Moreno,28,1.84,Spain,Madrid,35.0,80.0,midfield - Central Midfield,14,right,Atlético Madrid,2027-06-30,2019-07-01,,Nike,LaLiga
1663,Koke,,31,1.76,Spain,Madrid,16.0,70.0,midfield - Central Midfield,6,right,Atlético Madrid,2024-06-30,2011-01-01,Gesport Espizua SL,adidas,LaLiga
1664,Saúl Ñíguez,Saúl Ñíguez Esclapez,28,1.84,Spain,Elche,10.0,90.0,midfield - Central Midfield,17,left,Atlético Madrid,2026-06-30,2013-07-01,CAA Stellar,Nike,LaLiga
1665,Pablo Barrios,Pablo Barrios Rivas,19,1.81,Spain,Madrid,5.0,5.0,midfield - Central Midfield,24,right,Atlético Madrid,2028-06-30,2023-01-23,CAA Stellar,,LaLiga
1666,Thomas Lemar,,27,1.71,France  Guadeloupe,Baie-Mahault,25.0,70.0,midfield - Attacking Midfield,11,left,Atlético Madrid,2027-06-30,2018-07-01,Kemari,adidas,LaLiga
1667,Yannick Carrasco,Yannick Ferreira Carrasco,29,1.81,Belgium  Spain,Ixelles,25.0,40.0,Attack - Left Winger,21,right,Atlético Madrid,2024-06-30,2020-09-08,Gol International,Nike,LaLiga
1668,Ángel Correa,Ángel Martín Correa Martínez,28,1.71,Argentina  Spain,Rosario,35.0,45.0,Attack - Right Winger,10,right,Atlético Madrid,2026-06-30,2015-01-01,Augustin Jimenez,,LaLiga
1669,Antoine Griezmann,Antoine Griezmann,32,1.76,France,Mâcon,25.0,150.0,Attack - Second Striker,8,left,Atlético Madrid,2023-06-30,2021-08-31,BY AND FOR,Puma,LaLiga
1670,Álvaro Morata,Álvaro Borja Morata Martín,30,1.89,Spain,Madrid,25.0,65.0,Attack - Centre-Forward,19,right,Atlético Madrid,2024-06-30,2020-07-01,Niagara Sports ...,adidas,LaLiga
1671,Memphis Depay,,29,1.78,Netherlands  Ghana,Moordrecht,16.0,55.0,Attack - Centre-Forward,9,right,Atlético Madrid,2025-06-30,2023-01-20,TEAM DEPAY,Puma,LaLiga
1672,Álex Remiro,Alejandro Remiro Gargallo,28,1.91,Spain,Cascante,25.0,25.0,Goalkeeper,1,right,Real Sociedad,2027-06-30,2019-07-01,Feel Winner,,LaLiga
1673,Andoni Zubiaurre,Andoni Zubiaurre Dorronsoro,26,1.89,Spain,Ordizia,0.3,0.3,Goalkeeper,13,left,Real Sociedad,2024-06-30,2022-07-01,YOU FIRST,,LaLiga
1674,Robin Le Normand,,26,1.87,France,Pabu,35.0,35.0,Defender - Centre-Back,24,right,Real Sociedad,2026-06-30,2019-07-01,AC Talent,,LaLiga
1675,Igor Zubeldia,Igor Zubeldia Elorza,26,1.81,Spain,Azkoitia,15.0,30.0,Defender - Centre-Back,5,right,Real Sociedad,2024-06-30,2017-07-01,Wasserman,,LaLiga
1676,Aritz Elustondo,Aritz Elustondo Irribarria,29,1.82,Spain,Beasain,14.0,20.0,Defender - Centre-Back,6,right,Real Sociedad,2026-06-30,2016-01-04,IDUB GLOBAL,,LaLiga
1677,Jon Pacheco,Jon Pacheco Dozagarat,22,1.84,Spain,Elizondo,6.0,6.0,Defender - Centre-Back,20,left,Real Sociedad,2027-06-30,2022-07-01,IDUB GLOBAL,,LaLiga
1678,Aihen Muñoz,Aihen Muñoz Capellán,25,1.75,Spain,Etxauri,6.0,7.5,Defender - Left-Back,12,left,Real Sociedad,2024-06-30,2019-07-01,YOU FIRST,,LaLiga
1679,Diego Rico,Diego Rico Salguero,30,1.83,Spain,Burgos,3.0,10.0,Defender - Left-Back,15,left,Real Sociedad,2025-06-30,2021-07-26,IDUB GLOBAL,Nike,LaLiga
1680,Andoni Gorosabel,Andoni Gorosabel Espinosa,26,1.74,Spain,Arrasate,10.0,10.0,Defender - Right-Back,18,right,Real Sociedad,2024-06-30,2018-07-01,,,LaLiga
1681,Álex Sola,Alejandro Sola López-Ocaña,23,1.78,Spain,Donostia-San Sebastián,3.0,3.0,Defender - Right-Back,2,right,Real Sociedad,2026-06-30,2022-07-01,LEADERBROCK,adidas,LaLiga
1682,Martín Zubimendi,Martín Zubimendi Ibáñez,24,1.81,Spain,Donostia-San Sebastián,40.0,40.0,midfield - Defensive Midfield,3,right,Real Sociedad,2027-06-30,2020-09-10,IDUB GLOBAL,,LaLiga
1683,Asier Illarramendi,Asier Illarramendi Andonegi,33,1.79,Spain,Mutriku,2.0,25.0,midfield - Defensive Midfield,4,right,Real Sociedad,2023-06-30,2015-08-26,Bahía Internacional,,LaLiga
1684,Mikel Merino,Mikel Merino Zazón,26,1.89,Spain,Pamplona,50.0,50.0,midfield - Central Midfield,8,left,Real Sociedad,2025-06-30,2018-07-12,Bahía Internacional,adidas,LaLiga
1685,Ander Guevara,Ander Guevara Lajo,25,1.8,Spain,Vitoria-Gasteiz,5.0,7.5,midfield - Central Midfield,16,right,Real Sociedad,2024-06-30,2019-07-01,YOU FIRST,,LaLiga
1686,Beñat Turrientes,Beñat Turrientes Imaz,21,1.81,Spain,Beasain,2.0,3.0,midfield - Central Midfield,22,right,Real Sociedad,2027-06-30,2022-07-01,IDUB GLOBAL,,LaLiga
1687,Brais Méndez,Brais Méndez Portela,26,1.84,Spain,Mos,30.0,30.0,midfield - Attacking Midfield,23,left,Real Sociedad,2028-06-30,2022-07-06,InterStarDeporte,,LaLiga
1688,Robert Navarro,Robert Navarro Muñoz,21,1.78,Spain,Barcelona,4.0,4.0,midfield - Attacking Midfield,17,right,Real Sociedad,2027-06-30,2022-08-07,,,LaLiga
